moment	social
Finishing my last day of pharmacy school rotation!	no
My son did his piano practice without me telling him to.	yes
I went to the gym in the morning.	no
I received a coffee cup in the mail from my favorite TV show.	no
The event that made me happy is when I purchased my first home.	no
I went for a trip.	no
Visited with my family, today.	yes
I made significant progress in completing a work project.	no
I called in sick to work last Friday, but I was not truly sick, I just needed a well deserved break.	no
When my granddaughter told me I was the best grandma in the world	yes
I bought a new car	no
I get to be alone for awhile with no wife and no little kids.	no
I discovered that my sister is getting married	yes
I ate a slice of cheesecake and it was delicious.	no
I was hungry, and was surprised with breakfast.	yes
After months of playing I found all 900 Korok seeds in The Legend of Zelda Breath of the Wild.	no
My dog woke me up this morning when he pushed his way under the covers and cuddled up next to me	no
I was working today and managed to bring productivity up for a better monthly income.	no
I brought a new phone that I worked hard for.	no
The day we drove down to the beach.	yes
The flowers in my garden started blooming this week for spring finally.	no
I WENT TO TEMPLE	no
Getting to spend the night just lounging with my cat after a long weekend.	no
I had a long discussion with my friend and helped him through a troubling time.	yes
I woke up to my husband snuggled close and spooning me.	yes
I beat my older brother in a game of monopoly which is a rivalry we have had since we were young.	yes
I went to go eat at a restaurant i have been planning on going to for a month	no
The business down the street had a live outdoor concert that we went to at lunch.	yes
I went on a big food shopping trip.	no
i was walking to the store to get cat food and cat litter...   i found 20 dollars in parking lot...that does not happen everyday..  i bought my stuff and the person behind me...   made her day	yes
i got suprise from my friend	yes
i got a promotion in my company to my dream place last month	no
I was happy when I watched a TV show with my husband in the middle of the day.	yes
I woke up in the middle of the night to find my cat sleeping on my stomach.	yes
I got tickets to see Hamilton in Los Angeles!	no
I went to a music concert with friends.	yes
Our old dog got sick and we thought he might be dying, but he got better and it turned out to be a bacterial infection.	yes
our project went to live today.	yes
I found out I was pregnant with my first child.	yes
Going out to eat with family and friends	yes
Hearing my daughter play on her new ukulele.	yes
I ate an ice cream sandwich that cost like a dollar, and I was happy because it tasted so good and I was super hungry.	no
My brother finally bought a home for his family.	yes
I went to a butterfly exhibit with my boyfriend yesterday.	yes
Another event that made me happy was when the cable installer came and installed our cable.	yes
I talked to my parents on the phone.	yes
A friend from high school posted an online message,saying that she loved me.	yes
I finished my exams and semester at school with passing grades!	no
I got done some grocery shopping that I'd not had time to do for days.	no
I was able to find a good deal on car parts that I have been looking for for a while now.	no
Our daughter came to eat with us at the senior retirement center where my husband and I live.	yes
I sat on my couch and watched the activity outdoors.	yes
My kid brought home a good report card which made me feel happy.	yes
I had a cheeseburger and it was delicious.	no
watching my friend win a game of PUBG	yes
I had my first cup of coffee since 2 months ago, which was delicious and it warmed me right up, and made me feel full of life so I was very happy, and I'm still happy.	no
What made me happy today was finishing my workout, it was weight lifting which I really dont like but I really rocked it!	no
When my wedding dress arrived and it was exactly customized on my own desire	no
I listened to my favorite song by my favorite band, The Monkees.	no
My husband and I had a delicious dinner with my godsister whom I had not seen in a few months.	yes
Meeting my new manager.	yes
I thought about the fact that my son is graduating Kindergarten this week.	yes
I got a new job that I like.	no
I got a promotion at work.	yes
I finally got my phone to take pictures correctly.	no
I had dinner with some old friends a few days ago.	yes
I chatted with a friend.	yes
Watching a movie with my girlfriend was educational	yes
I WENT TO COLLEGE	no
I received an $18 gratuity from a table that was very difficult to serve	yes
I am a supervisor of my manufacturing company.i have a good qualification and hard worker so my company gives promotion for my hard work.it is very happy moment in my life.i feel very proud about my self.it makes lot of goodness in my career.	no
I WENT TO SHOPPING	no
My mother-in-law had made some oatmeal raisin cookies and gave me a bag of them when I dropped off my daughter.	yes
I went on a day trip with my family.	yes
My kid got good grades on his report card.	yes
I made a cool new song on my computer	no
Seeing my puppy sleeping goofy.	yes
We won our first volleyball game of the season.	yes
Me and my friend decided to plan a trip for a hill station last month but unfortunately it was cancelled due to some personal issues.But shortly after 10 days later the trip was on and finally we made it.We had a long time to spend and enjoy.It was really a memorable and happy moment for me.	yes
My oldest daughter has started communicating more with me, and is happy.	yes
I was amazingly happy when two of my children graduated this weekend.	yes
When I had a good day on Mother's day with my mother and grandmother.	yes
My youngest daughter got to meet her new classmates for next year.	yes
Finally getting my cat's nails trimmed after procrastinating for a while.	no
I spent some time with my husband.	yes
Researching and figuring out how to repair an issue with my car to pass inspection without paying a mechanic.	no
My daughter had lost her first tooth and she was so excited and asked me so many questions about the tooth fairy.	yes
I started doing meditation at 4 A.M in the morning and I felt I was transported to another world and experienced a lot of Bliss.	no
I got caught up in my schoolwork and am now on time with my classes.	no
I met up with some friends for a birthday party and saw some I hadn't seen in awhile.	yes
I made my favorite noodle soup which is Tonkotsu ramen.	no
My happy moment was going to my mother in laws house this morning for a delicious homemade breakfast.	yes
I talked to my girlfriend today.	yes
I made lunch for my coworkers for gratitude as my 1st year anniversary at work.	yes
My friend shared to me a funny video.	yes
Taking a long drive on a clam road with my parents on last month that makes me very happy with my family members.	yes
Saw the interview of Sachin Tendulkar live in the studio and got a selfie with him.	yes
I went to a movie theater and saw a double feature of Guardians of the Galaxy 1 and 2.	no
i brought a new pet last month	no
My brother told me he got into med school!	yes
I finished my first day of coding school and had my first meeting with my mentor.	yes
I was able to rewind and play some video games after a very tressful day at work	no
I went to visit a beloved family member.	yes
The time my sister asked me to give her away at her wedding.	yes
I watched movies with my family.	yes
Drove for over 10 miles for fun.	no
I made the decision to leave a job I hated.	no
Getting to wake up beside my boyfriend every morning.	yes
My supervisor appreciated me for the great work I have done.	yes
Spent quality time with my brother.	yes
I had a great morning full with energy.	no
My dog was very happy to see me when I got home from work yesterday.	no
My fiance' got most of the day off, so I have gotten to spend time with her.	yes
My childhood friend called me.	yes
I played with a dog in the park.	yes
Going to Las Vegas for my best friend's bachelor party, and having a better time than I could have ever imagined.	yes
Made a fresh coffee.	no
i made break fast last one month	no
finished a hand made mother's day gift a week early	no
I WANT TO MARRIGE	no
my brother's girlfriend who was staying with us for the past few days finally left.	yes
Waking up next to my girlfriend and giving her a kiss	yes
our social group conducted a awareness program about yoga and the need of exercise meditation and the program went well got a chance to perform a program in another place	no
I got to sit outside and read in the sun and warm weather.	no
My partner passed her state boards and got her license.	yes
I found some great items at a yard sale.	no
On the train this morning, someone told me I had a nice smile.	yes
Watching ghost in the shell with my son.	yes
I was happy when the eye clinic called to say my replacement eyeglasses were ready.	yes
Now that springs's here and the days are getting warmer again: making a small campfire in the backyard, grabbing an ice cold beer and just relax after a hard day of work.	no
I got one of the last donuts in the break room.	yes
I was happy when I ate a big cookie from a local bakery.	no
I got a merit raise last week and that made me happy because my worth is being recognized.	no
I enjoyed the cool morning.	no
I was very happy that my Dad did not have to stay in the hospital after going to the ER.	yes
My favorite online game was updated and therefore fixed and made better.	no
Driving to a new town	no
When I was given a chance to take the summer to make up an assignment from a year ago.	no
I had an amazing workout yesterday and did a ton of cardio, breaking a crazy sweat.	no
It made me happy when I got on the scale and lost 6 pounds.	no
I replaced my old mobile, now i bought Redmi mobile, which has many features i am very happy to have that mobile.	no
I looked up a new genre of music that I now really like.	no
I got a small raise at work.	no
My fiance and I had a good time relaxing at our favorite all inclusive resort in Cancun, Mexico.	yes
I was happy when I received an unexpected gift card in the mail yesterday for something I completed months ago.	no
i went on a cruise with most of my musical idols.	yes
I bought a new black sweater at Target last week.	no
I was able to talk with and old friend who I haven't been able to in a long time.	yes
My daughter has started to walk.	yes
I can remember the graduation day I got the degree certificate the smile on my parent's face made the 3 years of hell worth it.	yes
Being able to prepare my wife's lunch for work	yes
I enjoyed the walk long around the neighborhood last night and looked at the night sky.	no
I did not have to work today.	no
Watching a comedy movie with a friend.	yes
I pet a cute dog at the park last week.	no
My sister and I were talking and she told me a really funny story about an event that happened to her yesterday and we both laughed for a long time.	yes
I booked by ticket to go to Iceland with my best friend for June.	yes
I found something healthy to eat after searching, since I really don't want to eat the unhealthy bun.	no
I passed my exam for my online class.	no
My husband stayed home over the weekend and he spent some time with my children and i	yes
I was outside swimming when I saw three squirrels playing tag with each other, it was a lot of fun to watch.	no
Made fried rice without burning anything	no
I had a smoothie today and I really liked it.	no
My daughter sat with me on the couch after her nap for a little while.	yes
I got to catch up with one of my cousins that I had not seen in a long time, and we laughed and joked like we did when we were kids.	yes
On event that made me happy was giving a nice gift to my girlfriend for mother's day because she deserved it.	yes
today i got paid.	no
my sister was a government job so very happy	yes
My sister got marriage with her lovable partner, now she is very happy that event made me very happy	yes
I found a piece of furniture on sale that I have wanted for a long time, so I bought it.	no
went on a holiday for 3 days with my family	yes
The day (April 19th) when I was able to go into town [ 60 miles away ] and buy food supplies.	no
I got together with some guy friends to see a movie.	yes
The day i saw my baby started rolling on the bed for the first time and her cry when she could not take her hand	yes
I got to have some extra time to spend with my children.	yes
I recently scored a job interview for a professional position that I thought might be out of my league.	yes
I became a trainer at work and finished teaching my first trainee.	yes
I found a Youtube channel filled with really amazing undiscovered music.	yes
My boss talked to me about a potential promotion.	yes
Making plans to attend a concert out of state that I really want to see.	no
We had a family Arrow marathon last night and it made me really happy to spend time together and bond over a show we all like.	yes
Spending the day with my sweetheart yesterday made my entire weekend better!	yes
We purchased a new desktop computer.	yes
My husband received his EAD today!	yes
I made a 97 on one of my tests in Solid Mechanics class.	yes
When I did really well on my performance review and got a decent raise.	no
I finalized my trip to Alaska.	no
I was happy to receive flowers from my niece for Mother's Day.	yes
Earlier today my daughter managed to find her missing dress shoe that has been missing for weeks, so now I don't have to buy her new shoes for Easter.	yes
Came back to office today after 3 days of official travel	no
I went for a run.	no
My husband making me a Moana Mother's Day card complete with Hawaiian breakfast pancakes.	yes
During dinner with my boyfriend we talked about our ideal wedding and he discussed it as if it were obvious he would be marrying me some day.	yes
My toddler son smiled at me.	yes
I get to relax and watch the warriors play tonight at my friends house	yes
I went apartment shopping all weekend and was so hopeful to actually see some places in my price range and see the layouts were nice and in the same city I live in.	no
It made me happy when I looked at my phone and I found out that I had earned a better score on a tough exam that I thought I failed.	no
Got to eat some Brightside Skittles.	no
I tried a new Chinese place yesterday, just for something different.	no
I spent a day hanging out at my parents' house and my wife and I got to play several board games with my dad.	yes
My happy moment was when I picked my son up from daycare and he ran into my arms.	yes
Yesterday was my cousin's marriage.	yes
Watching Master of None on Netflix	no
I had some of my favorite rose.	no
Receiving an email from a professor stating that the practice test, that I aced, counts as our final grade.	yes
I WENT TO TEMPLE	no
I recently purchased half a dozen chickens and setup a fantastic chicken coop for them.	no
I was offered a new job that was exactly what I wanted to do.	no
I felt happy when I saw my three year old cleaned her room all by herself without me asking her to clean it.	yes
I spent time with new friends.	yes
YESTERDAY I WENT TO THE TOUR WITH MY WHOLE FAMILY AFTER A LONG TIME.I MET ALL MY FAMILY MEMBERS AND THEY BLESSED ME.WE ENJOYED OUR TOUR WITH DANCE AND SONGS AND FELT VERY HAPPY.	yes
I was able to exchange money for one of my gpu's, giving me another computer part.	yes
I was playing a game with some friends and we beat this really complex and hard part of the game.	yes
Last night I spent a couple hours talking with a friend I had not spoken to in a while.	yes
I got a book I ordered in the mail.	no
I went to see Guardians of the Galaxy 2 at our local theater and it was a great movie.	yes
Watching my children collect Easter eggs brought a smile to my face.	yes
Having a pizza after too long without.	no
Sketching new ideas for a painting project	no
Found, and purchased, a book I had been searching for for a long while	no
I received some much needed medication in the mail yesterday afternoon.	no
I saw my brother, who is from out of town.	yes
My favorite football team has managed to qualify for the final rounds of the most important tournament in Europe	no
I was happy that I was able to go to the grocery store and get what I want without overspending and without a fight from my significant other.	no
I won some free yogurt at the grocery store.	no
I got to eat a birthday cake pop from Starbucks which was really tasty.	no
My wife made pizza for dinner.	yes
I finished work on an onerous, difficult committee I served on at work.	no
Took my girlfriend to lunch.	yes
I skipped work to go out to the movies with my wife.	yes
I was happy when I found out my job is expanding.	no
Went on a family vacation with 3 other couples with children with similiar ages as ours and had a great time.	yes
Swim teacher told me I could advance to the next level of class	yes
I ate a good BBQ sandwich with my friend.	yes
I found an old shirt I had been looking for since nearly 3 weeks ago, which was one of my favorites.	no
My cousin, who I am pretty close to, is visiting with us for a month.	yes
My happiest moment in my life for my 28th birthday my daddy presented me a new smart phone surprisingly date day i was so exited....i can't forget date day in my life, date was my family first surprise given by my daddy..rest surprise given by my daddy..	yes
I got to have a milkshake from steak and shake which is an establishment that is not local to us.	yes
My girlfriend came back to me	yes
I had sex with my partner.	yes
My coworker brought a jumprope to work and I jumped rope in the hallway.	yes
I watched a funny episode of Tosh.o and it entertained me.	no
I made a good amount of money on Mturk yesterday.	no
My roommate felt bad for me for being too hot and set up a fan to blow the air conditioner air at me so that I would cool off.	yes
I enjoyed a wonderful home cooked meal.	no
I saw a beautiful dream featuring my crush	yes
Two hours ago, I got my schedule and I work five days this week.	no
I went hiking at a new state park with some friends.	yes
Went on a cruise	no
My sister did what i asked her to.	yes
our whole family went to cinema theater  to enjoyed lot and watched cinema	yes
I got a lot of currency in my video game, which made me really happy.	no
My nephew texted me to say thank you for his birthday package and well wishes we sent him.	yes
I started a new book that I think I'm going to like.	no
I finished learning a piano piece.	no
It was not raining as I walked from my garage to my work even though the forecast said it was going to rain.	no
I WENT TO TEMPLE	no
I ate some ice cream.	no
I was really hungry after working for 6 hours and I came home and made myself pasta, and it was delicious.	no
I WENT TO TEMPLE	no
MY SON GET FIRST RANK IN THE EXAMINATIONS.	yes
I went to a cousin's beautiful wedding and felt the love the whole time.	yes
Last night I got to play basketball with a few friends.	yes
I watched a few episodes of the new season of Orange is the New Black.	no
I started watching the a show called Riverdale which I enjoyed.	no
Getting another rescue dog from a bad situation	no
I got to see my friends' dogs after they had been away, sick, awhile.	no
As a teacher, I was happy when two of my three student groups won their school-wide debate this afternoon.	no
My favorite team in the NBA won with a margin of eleven points against their rival.	no
My kids cleaned my house before I got home from work and cooked dinner.	yes
i drank a really good coffee	no
Having the confidence to drive to Cleveland, first time on the freeway!	no
We bought another puppy and it gets along great with our other dog...nothing more uplifting then seeing happy dogs playing	yes
I was able to indulge in a brownie I can actually eat that won't negatively affect me due to gastrointestinal issues.	no
I went into the kitchen to do the dishes and found they had already been washed and put away by another member of household.	yes
I got a great promotion at work	no
I took a picture of a Bald Eagle in a nest.	no
It made me happy when I won an award at home.	yes
On my way to work my favorite song came on the radio.	no
I discovered my love for cappuccinos which is rare for me because I have been drinking black coffee for at least a decade but I tried one at a local shop and the steam and milk floored me.	no
My boyfriend gave me some money.	yes
I spent an amazing week with my fiance!	yes
Took my wife out for ice cream	yes
My father agreed to buy a car for me.	yes
I was happy at dinner time because I made breakfast for dinner.	no
My first time making the sticky rice dumpling (Zongzi) was very successful and everyone in my family like it.	yes
Watching my partner complete a workout and seeing him be proud of himself (he's been injured recently).	yes
I had my partner's brother over to play table top games yesterday and we had a lot of fun.	yes
My favorite tv show was on, and I actually had time to watch it.	no
Having dinner with my husband and my children.	yes
I made a payment on my credit cards, so now I wont need to pay for a while.	no
Don't have to go to the grocery store because wife already did	yes
My student transitioning well from gym wben its usually a hard time.	no
My husband brought us dinner home and I didn't have to cook for the family.	yes
I was happy that my favorite baseball team won their game this afternoon.	yes
I went for a mile run and afterward I felt fantastic.	no
I helped my dog catch a bug.	no
My parents got home with my dinner, and I was really hungry.	yes
A cashier at the store recognized me and told me she was happy to see me because she hadn't seen me shopping there in a while.	yes
We went to Planet Fitness and exercised for about an hour as part of our effort to improve our health.	yes
I went shopping for clothes all be myself with no kids for the whole morning.	no
I was finally invited to work on Amazon Mechanical Turk after 5 months of waiting.	no
I visit a new mobile showroom just opened I get a gift from the lucky draw.	no
Got a promotion at work	no
I received a class action settlement check in the mail.	no
Finally picking out a new mattress and bed	no
I went for a run around the block.	no
Enjoying my Coffiest drink.	no
Finding my dog, he was missing	no
My six month old son laughed at me.	yes
I WENT TO TEMPLE	no
I was able to rent a car and drive to a Leather contest 2 states over.	no
My son's percussion ensemble put on a pretty nice performance	yes
My mother came over to visit me and we talked for a couple of  hours.	yes
Petting a nice friendly dog.	no
My fiance texted me and asked if we wanted to go on a date night after he was off work.	yes
I was finally able to finish up the last stanza of a poem that I had been working on for a while and had been stuck on.	no
I made an epic Cuban sandwich, better then any I've made in the past - those I shared it with thoroughly enjoyed it as well.	no
I have been looking for a full time job for about a month now, and I got a call today letting me know that I'll start one next week!	no
I saw a puppy and its owner let me pet it.	yes
Last night my son had trouble sleeping, but tonight he went to sleep right away!	yes
I took my son to the pool and spent the day in the sun.	yes
when my boss told me to go home early because work was slow.	yes
We celebrated my wife's birthday and went to the Wisconsin Dells over the weekend.	yes
I WENT THE TEMPLE.	no
I  bought myself a new 2016 Nissan car.	no
A co-worker complimented me last week on how good I do my job.	yes
I got my house to pass code inspection.	no
I got a picture of another raccoon sleeping in a cubbyhole above our backyard awning, and the little guy just stretched and yawned, not bothered by me at all.	yes
I found out that there will be couple of Game of Thrones spin-offs in the next few years, I just love that show.	no
I was happy to feed a homeless dog that came to my vacation home for 5 straight days.	no
I learned how to do my job better at work today	no
I got a free sub sandwich from my favorite sandwich shop after I filled up a frequent customer punch card.	no
"I learned about ""tulpas,"" a fascinating mental phenomenon sort of like an imaginary friend."	no
My happiest moment is today as my daughter has won the first prize in the essay writing competition.	yes
I WENT TO BANGALORE FOR INDUSTRAIL VISIT	no
My husband and i were able to have succesful, non-painful penetrative sex for the first time in 4 months.	yes
Believe it or not, it was leaving work today on time so I could spend more time with my family.	yes
My favorite Youtuber uploaded a video after not uploading a video in over 2 months.	yes
I got in some good quality gaming time with my friends and had some great laughs while doing it.	yes
My professor approved the revised proposal for my final project.	yes
Spending the day home with my daughter	yes
We had an open house to try and sell my fiancee's home to consolidate before our marriage.	yes
yesterday i went to my sister home to celebrate their birthday party.all my relatives are get in together to enjoy the party.we presented a gift also.it was interesting and enjoyable moment	yes
I got to eat some really delicious noodles that my mom made.	yes
I was financially able to afford signing up my 2 young children for an extra curricular activity in our community.	yes
I got surprise tickets from some friends to see Blink 182 this summer.	yes
Being greeted by my dog yesterday when I got home.	no
The Star Wars Last Jedi Trailer, I had been waiting for it for a while	no
I made my own burritos for the whole family and they were a big hit.	no
I've begun looking into a home to buy, and am excited.	no
I found hidden candy I had forgotten about in the cabinet.	no
My husband brought me coffee this morning while I was in the shower.	yes
I got to have lunch with my spouse.	yes
I got accepted into a movie club in my local area where I am meeting new people.	yes
My wife and I hiked to Angels Landing in Zion National Park	yes
I Bought a new car for myself and my family.	yes
My wife made the most awesome homemade pancake breakfast for me.	yes
Last month i went to watch a movie with my family and i was very happy because i am watching the movie which is re released with digitization.the movie is my favorite and i have watched during my childhood and the movie brought back my childhood memories.	yes
I went Swimming in the Ocean	no
I listened to music.	no
I went out to dinner with my mom and my husband.	yes
I talked to my nephew.	yes
Friend bought a bike so he ride me	yes
I like rainy days, and it is raining today.	no
I realized that I still had some of my favorite food in the fridge.	no
Having a good sales day at work made me happy.	no
I found out today I got a raise at my job that I was not expecting!	no
I went on a trip with my family and relatives for 3 days which made me happy.	yes
my lover give me a first kiss on my college day	yes
When I took my class to lunch, they were actually well-behaved.	yes
My husband came from abroad and brings a lot of gifts.	yes
I bought a new laptop.	no
Finding out I was pregnant in March, after trying for several months made both my partner and I very happy.	yes
While i'm lying down on the sofa, my mother tickle me... i was laughing.	yes
I went out to lunch with my mother.	yes
Finally move on from my ex	yes
One event that made me happy was when I was able to express my thoughts coherently during a meeting with my student's parents.	yes
my happiest  moment  everyday my mom say bye to me when i get ready to go somewhere.	yes
We, after having lost our dachshund of over 13 years, were approved by the dachshund rescue society to receive a dachshund puppy -- it finally arrives this week.	yes
Our very hard to reach quota for new loyalty club members at work was reduced by corporate to a more attainable goal.	yes
Buying a brush cutter for my father as a birthday gift	yes
I was happy when i bought a new guitar amplifier.	no
I was happy when I had an really good conversation with my aunt and grandmother whom I was visiting in the hospital.	yes
My son has spent a lot of time in the hospital, and we recently received news that he should have a good long break before the next flare up of his rare disease.	yes
I felt happy when I made my boyfriend happy by buying him a special birthday cake.	yes
I bought a new 3 BHK apartment near my workplace for me and my family.	no
I was able to finally get the courage up to fix the valve cover gasket on my car.	no
Moving into my first home with the love of my life.	yes
Winning a small prize in a local lottery.	no
When I went to get coffee this morning the car in front of me had paid for mine	yes
Eating a dessert that my mom made.	yes
kissing my lover.	yes
My cat woke me up to crawl on my belly and begin purring.	no
I made some really tasty banana bread.	no
I started gardening for the season.	no
today i finally taught my dog how to give a high five, it was a big feeling of accomplishment for the two of us after weeks of working on it with slow progress now it's smooth sailing.	no
I just heard from my cousin who reached out because we haven't spoken to in years and we just caught up on life.	yes
Playing board games with my brother and my boyfriend last weekend.	yes
I was happy that I was able to empathize with my spouse even though our marriage is at the end of the road.	yes
Arranged a party for my family at 3 star hotel	yes
I ate lunch with a close friend today.	yes
I enjoyed sitting in the house watching all the birds at our bird feeders while we had heavy april showers	no
In the past 3 months, my best friend got married	yes
My son was accepted into his school's math honor society.	yes
Dancing to the songs on the Trolls movie made me happy.	no
I won the regatta race in my Township game.	no
My Mom and I went to lunch and to get our hair done.	yes
I made it to the gym yesterday afternoon on my lunch break and had a great workout.	no
I started running again and it improved my mood and level of energy after the first run.	no
I spent time with my daughter listening to her read books.	yes
I went to the movies with my friend today to see the movie Life.	yes
I went and played kiddie golf with my daughter last weekend.	yes
Spending time with my brother.	yes
I got to meet my grandmother after a year of not seeing her.	yes
I was happy when I saw my cat make his bed on top of a plastic bag.	no
To my wife's surprise yesterday I went alone for the 1st time to buy a jewel for my wife to give it today on the occasion o our 25th wedding anniversary  which was thrilling and happy	yes
I WENT TO TEMPLE	no
I WENT TO SHOPPING	no
"I ran in a ""running music festival"" in Chicago and didn't get hurt."	no
I had an amazing sushi all you can eat lunch a couple of days ago.	no
when my crush accepted my proposel im too happy	yes
My boyfriend and I played lazer tag with his daughters this past weekend.	yes
We got an extra paycheck that was not expected this month.	no
I got a new job in a field that I love, and am finally using the skills I went to school for.	no
I hung out with my friends to celebrate my championship title.	yes
i had to go to guitar center, a store a normally dont like very much, but a helpful clerk got me a good deal on what i needed to buy and was very nice to me.	yes
I made a good observation at work that my boss was pleased with.	yes
I was recently talking to a friend about a potential job opportunity after i graduate, so i make take him up on the offer if things go well.	yes
The weather outside today was nice and pleasant.	no
I ate a really great sandwich that I had made myself.	no
I got a bonus at my job that I have been working at for six years.	no
I decided to lay in my hammock in the park and watch clouds for an hour on a sunny day.	no
My grandson was on Skype and he started crying asking my daughter to bring me to him at that very moment.	yes
I received a game in the mail that I eagerly anticipating for a long time.	no
Going out to a famous disco and listen to one of the best dj's in the world.	yes
I order tickets for a concert for Donny and Marie!	no
I was able to get the grass cut before it started raining	no
I bought myself a FitBit Blaze as a Single Galentine's Day gift.	no
When my both son's playing with me	yes
I ordered three pairs of pants online and when they arrived they all fit me!	no
I was able to babysit with a grandma and hear her life story, which was very interesting.	yes
I bought a new car	no
Went to a board meeting with my friends	yes
I attended my Niece's birthday party last weekend.	yes
I went to see Born in China in the theater with my daughter.	yes
Staying at home after going to the gym and being alone	no
A friend sent me a funny cartoon in an email.	yes
I got paid for work I did a month ago, at a time where I really needed the money.	no
Got a really great, super sweaty workout done.	no
ALL MY FRIENDS AND RELATIVES ARE CAME TO MY HOME FOR BIRTHDAY PARTY SO AT THAT TIME I FEEL HAPPY	yes
I received phone call from officials I was not expecting of, it made me happy because the call rewarded my expectations.	yes
I bought a new dress for a graduation banquet.	no
I felt happy and excited when I learned that my daughter passed her exam in college.	yes
I went to a store with two of my boys; the store has swords and medieval stuff; the service is terrible, but my boys and I had a fun time, and we stopped at Dairy Queen afterward!	yes
When I got called to work on a localization for a game.	no
WATCHING MOVIE IN THEATER	no
My son and I played golf together at a new golf course that we wanted to play at.	yes
Had a fun hike with my dog into the hills	no
Playing my PS4 made me happy in the past 24 hours.	no
I've been losing weight.	no
My boss treated me to a steak dinner for being salesman of the month.	yes
School oficially ended for my kids today!	yes
A friend I hadn't talked to in a while got a hold of me and wanted to hang out.	yes
I spent an entire day with my best friend shopping and just hanging out, it was the best day I've had in awhile.	yes
My oldest son got a job today!	yes
I eat my favorite flavor ice cream	no
Went to Watch the US open cup soccer match last night	no
My son is weaned off of his binky & sleeps all night now	yes
Getting a maine lobster roll from a food truck that was at the soccer game it was really good!	no
I got a gift from a supermarket I used to shop regularly.	no
Knowing that I'm doing well going into finals week.	no
i am meet for school friends 5 years after	yes
We had so much of fun, talking past events, gossiping, discussing.	yes
My daughter's good grades made me happy because she worked really hard this past term and was struggling in math	yes
My girlfriend brought me lunch today.	yes
My uncle helped me repair my porch.	yes
Two of my best friends drove up from Portland, to celebrate my birthday and stay night.	yes
I was happy when I finished my first website.	no
My Mom made brownies	yes
I ate ice cream.	no
I ran into an old friend and we talked and laughed like no time had passed.	yes
I made big progress on a project at work.	no
I went to see one of my favorite bands.	yes
Having our pups snuggle into me while we were all sleeping.	yes
I finally found the woman who mattered most to me in my life, and so I traveled halfway around the world just to find her again.	yes
My daughter bought her first house all on her own!	yes
I installed a traditional light switch to replace a malfunctioning switch.	no
I watched a great movie over the weekend, and I cried happy tears at the end.	no
My brother came in from school to visit for the week.	yes
I got to spend some much needed quality time with my husband.	yes
The sun is shinning and the birds are singing, I am so glad that spring is finally here.	no
My son finally got the dog to do the rollover trick without having to give him a treat because he did it with just a voice command.	yes
I got off work	no
I loved eating chocolate ice cream.	no
I finished watching the latest season of one of my favorite television shows.	no
We had a no kids night last night so my wife and I ordered take out and watched Netflix.	yes
It made me happy to buy a new phone with my own money.	no
I discovered a new genre of music I like (future funk).	no
My mother discharged from the hospital after long period	yes
I watched the live stream of a live show of one of my favorite podcasts, Another Round.	no
I caught up with a good friend of mine.	yes
I landed an excellent summer teaching opportunity, so I am looking forward to the months ahead.	no
I played guitar with some friends at an actual paying gig for the first time!	yes
I took my friend's dog on a walk after she has recovered from a slipped disc in her neck.	yes
I received an item for free and was able to sell it quickly and easily on the internet.	no
This afternoon, we had lovely weather and I was able to spend ample time out of doors.	no
Another thing that made me happy was going for a bike ride.	no
I stepped on the scale and discover I had lost 3 pounds.	no
Yesterday I met up with friends and acquaintances for a happy hour which I normally cannot attend due to work hours.	yes
This morning, I woke up, felt the most rested I have in about a week, had a nice, hot shower, and am having a very good cup of iced coffee.	no
My husband works a lot, and when he seems to be off, it's raining; however, last weekend it wasn't raining, he was off of work, and we were finally able to take the motorcycle out for a few hours, which I always look forward to!	yes
I joined a cycling organization in my new town and have enjoyed meeting people with a similar passion for the sport I enjoy the most.	yes
My brother in law give me a new mobile when he came from abroad.	yes
I joined a writing challenge that I've been interested in for years.	no
I bought a great camera which helps me to take good photos.	no
I WENT TO TEMPLE	no
I have found a pack of my favorite crackers this morning.	no
I took my girlfriend out to a nice restaurant in the city for a date.	yes
I had a conversation with a guidance counselor on my future career choices, and things went particularly well.	yes
I found a new show that I like and binge watched it.	no
Family dinner on Sunday was delicious and a nice time as a family!	yes
A new season of a show I like started airing.	no
I grilled some sausages yesterday and they were delish	no
I had a really funny interaction with a coworker this morning.	yes
I weighted myself on the scale and saw a move in the right direction.	no
Fixed a phone of my brothers	yes
I have celebrated my marriage anniversary yesterday very happily and joyfully	yes
My daughter treated me today to a full house cleaning.	yes
I found that I loose my weight by two Kilos.	no
Last week my neighbor baked us a pie for dessert.	yes
I worked outside on my lawn.	no
Booked flights yesterday to see our friends who moved away 6 months ago.	yes
A close friend from Europe came to visit me for the first time in a few months.	yes
I WENT TO TEMPLE	no
Doing yoga within the past 24 hours made me happy.	no
In the past 3mth my friend from US visited India n she stayed with me for a month I wa so happy to spend so much time with her	yes
I lost 10 pounds, and that made me feel happy and accomplished.	no
I resolved an issue with my bank where money had gone missing.	no
i kissed my love to day	yes
I WENT TO SHOPPING	no
I played guitar with a friend of mine for a couple hours.	yes
One small event that recently made me happy was when I bought a scratch off from the gas station for $5 and won $10.	no
I noticed that I've started to build muscle mass from weightlifting.	no
today watched cinema	no
